LeaseNo|CustomerNo|UnitNumber|StartDate|EndDate
12435|3435|10201|2/11/2010|2/11/2012
12436|3436|10301|10/9/2009|10/9/2012
12437|3437|10501|1/2/2011|1/2/2012
12438|3438|10601|5/9/2010|5/9/2012
12439|3439|10701|2/12/2011|2/12/2012
12440|3440|10801|6/19/2011|6/19/2012
12441|3441|10901|9/25/2009|9/25/2012
12442|3442|11001|7/7/2010|7/7/2012
12443|3443|20101|3/21/2011|3/21/2012
12444|3444|20201|9/29/2010|9/29/2012
12445|3445|20301|5/5/2011|5/5/2012
12446|3446|20401|10/16/2010|10/16/2012
12447|3447|20501|12/20/2010|12/20/2011
12448|3448|20601|4/25/2011|4/25/2012
12449|3449|20701|4/2/2011|4/2/2012
12450|3450|20801|9/10/2009|9/10/2012
12451|3451|20901|8/25/2009|8/25/2012
12452|3452|21001|5/26/2011|5/26/2012
12453|3453|30101|9/24/2011|9/24/2012
12454|3454|30201|10/14/2010|10/14/2012
12455|3455|30301|10/11/2011|10/11/2012
12456|3456|30401|8/29/2010|8/29/2012
12457|3457|30501|10/21/2010|10/21/2012
12458|3458|30601|7/19/2011|7/19/2012
12459|3459|30701|8/14/2009|8/14/2012
12460|3460|30801|10/29/2009|10/29/2012
12461|3461|30901|8/21/2009|8/21/2012
12462|3462|31001|6/23/2010|6/23/2012
12463|3463|40101|8/19/2009|8/19/2012
12464|3464|40201|9/27/2009|9/27/2012
12465|3465|40301|10/2/2011|10/2/2012
12466|3466|40401|12/5/2009|12/5/2011
12467|3467|40501|4/11/2010|4/11/2012
12468|3468|40601|10/27/2010|10/27/2012
12469|3469|40701|5/15/2009|5/15/2012
12470|3470|40801|9/21/2010|9/21/2012
12471|3471|40901|9/28/2011|9/28/2012
12472|3472|41001|1/12/2010|1/12/2012
12473|3473|50101|12/10/2010|12/10/2011
12474|3474|50201|4/9/2009|4/9/2012
12475|3475|50301|9/18/2011|9/18/2012
12476|3476|50401|11/30/2010|11/30/2012
12477|3477|50501|10/8/2011|10/8/2012
12478|3478|50601|6/8/2009|6/8/2012
12479|3479|50701|2/25/2010|2/25/2012
12480|3480|50801|4/11/2010|4/11/2012
12481|3481|50901|6/27/2011|6/27/2012
12482|3482|51001|8/3/2010|8/3/2012
12483|3483|60101|9/8/2009|9/8/2012
12484|3484|60201|5/26/2010|5/26/2012
12485|3485|60301|3/7/2011|3/7/2012
12486|3486|60401|10/2/2009|10/2/2012
12487|3487|60501|2/13/2010|2/13/2012
12488|3488|60601|3/20/2011|3/20/2012
12489|3489|60701|5/3/2011|5/3/2012
12490|3490|60801|3/11/2009|3/11/2012
12491|3491|60901|5/29/2011|5/29/2012
12492|3492|70101|8/30/2009|8/30/2012
12493|3493|70201|4/22/2010|4/22/2012
12494|3494|70301|5/29/2010|5/29/2012
12495|3495|70401|7/20/2010|7/20/2012
12496|3496|70501|2/19/2010|2/19/2012
12497|3497|70601|7/30/2009|7/30/2012
12498|3498|70701|5/5/2009|5/5/2012
12499|3499|70801|6/14/2009|6/14/2012
12500|3500|70901|2/19/2011|2/19/2012
12501|3501|80101|1/8/2011|1/8/2012
12502|3502|80201|3/11/2010|3/11/2012
12503|3503|80301|9/16/2009|9/16/2012
12504|3504|80401|11/12/2009|11/12/2012
12505|3505|80501|10/21/2011|10/21/2012
12506|3506|80601|6/18/2009|6/18/2012
12507|3507|80701|7/16/2010|7/16/2012
12508|3508|80801|5/14/2011|5/14/2012
12509|3509|81001|6/8/2009|6/8/2012
12510|3510|90201|5/1/2011|5/1/2012
12511|3511|90301|5/14/2010|5/14/2012
12512|3512|90401|1/24/2011|1/24/2012
12513|3513|90501|10/19/2011|10/19/2012
12514|3514|90601|11/9/2010|11/9/2012
12515|3515|90701|3/9/2011|3/9/2012
12516|3516|90901|5/20/2011|5/20/2012
12517|3517|100101|8/7/2011|8/7/2012
12518|3518|100201|7/13/2011|7/13/2012
12519|3519|100301|9/9/2009|9/9/2012
12520|3520|100401|6/30/2009|6/30/2012
12521|3521|100601|1/8/2010|1/8/2012
12522|3522|100701|6/29/2010|6/29/2012
12523|3523|100801|11/16/2010|11/16/2012
12524|3524|100901|7/29/2009|7/29/2012
12525|3525|101001|2/6/2010|2/6/2012
12526|3526|10102|5/29/2009|5/29/2012
12527|3527|10202|8/29/2011|8/29/2012
12528|3528|10302|6/14/2011|6/14/2012
12529|3529|10402|2/27/2011|2/27/2012
12530|3530|10502|1/25/2011|1/25/2012
12531|3531|10602|8/2/2009|8/2/2012
12532|3532|10702|5/26/2009|5/26/2012
12533|3533|10802|1/5/2010|1/5/2012
12534|3534|10902|12/17/2010|12/17/2011
12535|3535|11002|10/3/2010|10/3/2012
12536|3536|20102|2/2/2010|2/2/2012
12537|3537|20202|10/19/2009|10/19/2012
12538|3538|20302|6/26/2011|6/26/2012
12539|3539|20402|4/4/2009|4/4/2012
12540|3540|20502|12/9/2009|12/9/2011
12541|3541|20602|9/12/2011|9/12/2012
12542|3542|20702|5/10/2010|5/10/2012
12543|3543|20802|2/7/2010|2/7/2012
12544|3544|20902|7/1/2009|7/1/2012
12545|3545|30202|3/8/2010|3/8/2012
12546|3546|30302|11/16/2009|11/16/2012
12547|3547|30402|5/15/2010|5/15/2012
12548|3548|30502|1/23/2011|1/23/2012
12549|3549|30602|4/17/2009|4/17/2012
12550|3550|30802|10/17/2009|10/17/2012
12551|3551|30902|8/30/2010|8/30/2012
12552|3552|31002|4/17/2011|4/17/2012
12553|3553|40102|5/5/2011|5/5/2012
12554|3554|40202|5/22/2010|5/22/2012
12555|3555|40302|6/5/2009|6/5/2012
12556|3556|40502|5/19/2009|5/19/2012
12557|3557|40602|3/8/2009|3/8/2012
12558|3558|40702|9/28/2011|9/28/2012
12559|3559|40802|1/6/2011|1/6/2012
12560|3560|40902|5/20/2010|5/20/2012
12561|3561|41002|7/31/2011|7/31/2012
12562|3562|50102|6/23/2010|6/23/2012
12563|3563|50202|8/23/2009|8/23/2012
12564|3564|50302|6/21/2010|6/21/2012
12565|3565|50402|8/16/2010|8/16/2012
12566|3566|50502|12/23/2010|12/23/2011
12567|3567|50602|10/10/2011|10/10/2012
12568|3568|50702|7/10/2011|7/10/2012
12569|3569|50902|4/14/2011|4/14/2012
12570|3570|51002|6/11/2010|6/11/2012
12571|3571|60102|8/29/2010|8/29/2012
12572|3572|60202|10/12/2009|10/12/2012
12573|3573|60302|2/10/2010|2/10/2012
12574|3574|60502|6/20/2009|6/20/2012
12575|3575|60602|10/7/2011|10/7/2012
12576|3576|60702|6/13/2009|6/13/2012
12577|3577|60902|1/28/2010|1/28/2012
12578|3578|61002|7/26/2009|7/26/2012
12579|3579|70102|9/25/2010|9/25/2012
12580|3580|70202|7/29/2011|7/29/2012
12581|3581|70302|8/16/2011|8/16/2012
12582|3582|70402|11/3/2009|11/3/2012
12583|3583|70502|5/14/2011|5/14/2012
12584|3584|70602|5/1/2010|5/1/2012
12585|3585|70802|11/3/2009|11/3/2012
12586|3586|70902|1/4/2010|1/4/2012
12587|3587|71002|10/18/2011|10/18/2012
12588|3588|80102|8/22/2009|8/22/2012
12589|3589|80202|4/19/2010|4/19/2012
12590|3590|80302|8/1/2011|8/1/2012
12591|3591|80402|7/26/2009|7/26/2012
12592|3592|80502|2/17/2011|2/17/2012
12593|3593|80602|3/23/2011|3/23/2012
12594|3594|80702|8/16/2011|8/16/2012
12595|3595|80802|8/14/2011|8/14/2012
12596|3596|80902|7/10/2010|7/10/2012
12597|3597|81002|6/30/2010|6/30/2012
12598|3598|90102|10/20/2011|10/20/2012
12599|3599|90202|1/1/2010|1/1/2012
12600|3600|90302|6/16/2010|6/16/2012
12601|3601|90402|10/10/2011|10/10/2012
12602|3602|90502|11/26/2010|11/26/2012
12603|3603|90602|9/2/2009|9/2/2012
12604|3604|90702|10/29/2011|10/29/2012
12605|3605|90802|10/2/2011|10/2/2012
12606|3606|90902|7/22/2010|7/22/2012
12607|3607|91002|11/10/2010|11/10/2012
12608|3608|100102|11/18/2010|11/18/2012
12609|3609|100202|4/8/2010|4/8/2012
12610|3610|100302|12/5/2009|12/5/2011
12611|3611|100402|1/18/2010|1/18/2012
12612|3612|100502|4/3/2009|4/3/2012
12613|3613|100602|7/15/2009|7/15/2012
12614|3614|100702|7/1/2010|7/1/2012
12615|3615|100802|11/20/2009|11/20/2012
12616|3616|100902|5/29/2010|5/29/2012
12617|3617|101002|8/29/2010|8/29/2012
12618|3618|10103|11/30/2009|11/30/2012
12619|3619|10203|7/25/2010|7/25/2012
12620|3620|10303|12/11/2010|12/11/2011
12621|3621|10403|3/24/2011|3/24/2012
12622|3622|10503|10/8/2009|10/8/2012
12623|3623|10603|5/8/2009|5/8/2012
12624|3624|10703|7/18/2009|7/18/2012
12625|3625|10803|3/18/2011|3/18/2012
12626|3626|10903|8/19/2009|8/19/2012
12627|3627|11003|11/7/2011|11/7/2012
12628|3628|20103|5/22/2010|5/22/2012
12629|3629|20203|9/22/2009|9/22/2012
12630|3630|20303|10/9/2009|10/9/2012
12631|3631|20403|10/17/2010|10/17/2012
12632|3632|20603|2/26/2011|2/26/2012
12633|3633|20703|4/19/2009|4/19/2012
12634|3634|20903|6/5/2009|6/5/2012
12635|3635|21003|4/20/2010|4/20/2012
12636|3636|30103|2/15/2011|2/15/2012
12637|3637|30203|10/9/2011|10/9/2012
12638|3638|30303|12/17/2009|12/17/2011
12639|3639|30403|8/28/2009|8/28/2012
12640|3640|30603|6/1/2011|6/1/2012
12641|3641|30703|7/19/2010|7/19/2012
12642|3642|30803|10/16/2011|10/16/2012
12643|3643|30903|9/6/2009|9/6/2012
12644|3644|31003|4/30/2009|4/30/2012
12645|3645|40103|5/9/2009|5/9/2012
12646|3646|40203|9/29/2009|9/29/2012
12647|3647|40303|2/13/2011|2/13/2012
12648|3648|40403|12/7/2010|12/7/2011
12649|3649|40503|3/8/2011|3/8/2012
12650|3650|40603|10/27/2009|10/27/2012
12651|3651|40803|10/16/2009|10/16/2012
12652|3652|40903|5/29/2011|5/29/2012
12653|3653|41003|9/22/2010|9/22/2012
12654|3654|50103|7/9/2011|7/9/2012
12655|3655|50203|10/2/2011|10/2/2012
12656|3656|50303|4/9/2010|4/9/2012
12657|3657|50403|12/6/2009|12/6/2011
12658|3658|50503|6/27/2009|6/27/2012
12659|3659|50603|6/29/2011|6/29/2012
12660|3660|50703|10/16/2009|10/16/2012
12661|3661|50803|9/26/2011|9/26/2012
12662|3662|50903|5/23/2011|5/23/2012
12663|3663|60103|12/18/2009|12/18/2011
12664|3664|60203|6/2/2009|6/2/2012
12665|3665|60303|12/28/2009|12/28/2011
12666|3666|60503|5/27/2009|5/27/2012
12667|3667|60603|10/13/2009|10/13/2012
12668|3668|60703|12/23/2010|12/23/2011
12669|3669|60803|7/15/2011|7/15/2012
12670|3670|60903|9/13/2011|9/13/2012
12671|3671|61003|10/19/2011|10/19/2012
12672|3672|70103|10/20/2011|10/20/2012
12673|3673|70203|3/27/2009|3/27/2012
12674|3674|70403|5/1/2010|5/1/2012
12675|3675|70503|6/1/2010|6/1/2012
12676|3676|70603|4/14/2010|4/14/2012
12677|3677|70703|3/18/2009|3/18/2012
12678|3678|70803|3/27/2011|3/27/2012
12679|3679|70903|11/25/2010|11/25/2012
12680|3680|71003|7/13/2009|7/13/2012
12681|3681|80103|7/14/2010|7/14/2012
12682|3682|80203|12/9/2010|12/9/2011
12683|3683|80303|7/9/2011|7/9/2012
12684|3684|80403|5/7/2009|5/7/2012
12685|3685|80503|1/14/2010|1/14/2012
12686|3686|80603|4/1/2010|4/1/2012
12687|3687|80703|7/9/2010|7/9/2012
12688|3688|80803|11/14/2010|11/14/2012
12689|3689|80903|1/4/2010|1/4/2012
