UnitNumber|UnitType|UnitPlan|Sqft|Floor
10101|STD|STD-S&A|450|1
10201|STD|STD-S&A|450|2
10301|STD|STD-S&A|450|3
10401|STD|STD-S&A|450|4
10501|STD|STD-S&A|450|5
10601|STD|STD-S&A|450|6
10701|STD|STD-S&A|450|7
10801|STD|STD-S&A|450|8
10901|STD|STD-S&A|450|9
11001|STD|STD-S&A|450|10
20101|STD|STD-S&A|450|1
20201|STD|STD-S&A|450|2
20301|STD|STD-S&A|450|3
20401|STD|STD-S&A|450|4
20501|STD|STD-S&A|450|5
20601|STD|STD-S&A|450|6
20701|STD|STD-S&A|450|7
20801|STD|STD-S&A|450|8
20901|STD|STD-S&A|450|9
21001|STD|STD-S&A|450|10
30101|STD|STD-S&A|450|1
30201|STD|STD-S&A|450|2
30301|STD|STD-S&A|450|3
30401|STD|STD-S&A|450|4
30501|STD|STD-S&A|450|5
30601|STD|STD-S&A|450|6
30701|STD|STD-S&A|450|7
30801|STD|STD-S&A|450|8
30901|STD|STD-S&A|450|9
31001|STD|STD-S&A|450|10
40101|STD|STD-S&A|450|1
40201|STD|STD-S&A|450|2
40301|STD|STD-S&A|450|3
40401|STD|STD-S&A|450|4
40501|STD|STD-S&A|450|5
40601|STD|STD-S&A|450|6
40701|STD|STD-S&A|450|7
40801|STD|STD-S&A|450|8
40901|STD|STD-S&A|450|9
41001|STD|STD-S&A|450|10
50101|STD|STD-S&A|450|1
50201|STD|STD-S&A|450|2
50301|STD|STD-S&A|450|3
50401|STD|STD-S&A|450|4
50501|STD|STD-S&A|450|5
50601|STD|STD-S&A|450|6
50701|STD|STD-S&A|450|7
50801|STD|STD-S&A|450|8
50901|STD|STD-S&A|450|9
51001|STD|STD-S&A|450|10
60101|STD|STD-S&A|450|1
60201|STD|STD-S&A|450|2
60301|STD|STD-S&A|450|3
60401|STD|STD-S&A|450|4
60501|STD|STD-S&A|450|5
60601|STD|STD-S&A|450|6
60701|STD|STD-S&A|450|7
60801|STD|STD-S&A|450|8
60901|STD|STD-S&A|450|9
61001|STD|STD-S&A|450|10
70101|STD|STD-S&A|450|1
70201|STD|STD-S&A|450|2
70301|STD|STD-S&A|450|3
70401|STD|STD-S&A|450|4
70501|STD|STD-S&A|450|5
70601|STD|STD-S&A|450|6
70701|STD|STD-S&A|450|7
70801|STD|STD-S&A|450|8
70901|STD|STD-S&A|450|9
71001|STD|STD-S&A|450|10
80101|STD|STD-S&A|450|1
80201|STD|STD-S&A|450|2
80301|STD|STD-S&A|450|3
80401|STD|STD-S&A|450|4
80501|STD|STD-S&A|450|5
80601|STD|STD-S&A|450|6
80701|STD|STD-S&A|450|7
80801|STD|STD-S&A|450|8
80901|STD|STD-S&A|450|9
81001|STD|STD-S&A|450|10
90101|STD|STD-S&A|450|1
90201|STD|STD-S&A|450|2
90301|STD|STD-S&A|450|3
90401|STD|STD-S&A|450|4
90501|STD|STD-S&A|450|5
90601|STD|STD-S&A|450|6
90701|STD|STD-S&A|450|7
90801|STD|STD-S&A|450|8
90901|STD|STD-S&A|450|9
91001|STD|STD-S&A|450|10
100101|STD|STD-S&A|450|1
100201|STD|STD-S&A|450|2
100301|STD|STD-S&A|450|3
100401|STD|STD-S&A|450|4
100501|STD|STD-S&A|450|5
100601|STD|STD-S&A|450|6
100701|STD|STD-S&A|450|7
100801|STD|STD-S&A|450|8
100901|STD|STD-S&A|450|9
101001|STD|STD-S&A|450|10
10102|STD|STD-S&B|450|1
10202|STD|STD-S&B|450|2
10302|STD|STD-S&B|450|3
10402|STD|STD-S&B|450|4
10502|STD|STD-S&B|450|5
10602|STD|STD-S&B|450|6
10702|STD|STD-S&B|450|7
10802|STD|STD-S&B|450|8
10902|STD|STD-S&B|450|9
11002|STD|STD-S&B|450|10
20102|STD|STD-S&B|450|1
20202|STD|STD-S&B|450|2
20302|STD|STD-S&B|450|3
20402|STD|STD-S&B|450|4
20502|STD|STD-S&B|450|5
20602|STD|STD-S&B|450|6
20702|STD|STD-S&B|450|7
20802|STD|STD-S&B|450|8
20902|STD|STD-S&B|450|9
21002|STD|STD-S&B|450|10
30102|STD|STD-S&B|450|1
30202|STD|STD-S&B|450|2
30302|STD|STD-S&B|450|3
30402|STD|STD-S&B|450|4
30502|STD|STD-S&B|450|5
30602|STD|STD-S&B|450|6
30702|STD|STD-S&B|450|7
30802|STD|STD-S&B|450|8
30902|STD|STD-S&B|450|9
31002|STD|STD-S&B|450|10
40102|STD|STD-S&B|450|1
40202|STD|STD-S&B|450|2
40302|STD|STD-S&B|450|3
40402|STD|STD-S&B|450|4
40502|STD|STD-S&B|450|5
40602|STD|STD-S&B|450|6
40702|STD|STD-S&B|450|7
40802|STD|STD-S&B|450|8
40902|STD|STD-S&B|450|9
41002|STD|STD-S&B|450|10
50102|STD|STD-S&B|450|1
50202|STD|STD-S&B|450|2
50302|STD|STD-S&B|450|3
50402|STD|STD-S&B|450|4
50502|STD|STD-S&B|450|5
50602|STD|STD-S&B|450|6
50702|STD|STD-S&B|450|7
50802|STD|STD-S&B|450|8
50902|STD|STD-S&B|450|9
51002|STD|STD-S&B|450|10
60102|STD|STD-S&B|450|1
60202|STD|STD-S&B|450|2
60302|STD|STD-S&B|450|3
60402|STD|STD-S&B|450|4
60502|STD|STD-S&B|450|5
60602|STD|STD-S&B|450|6
60702|STD|STD-S&B|450|7
60802|STD|STD-S&B|450|8
60902|STD|STD-S&B|450|9
61002|STD|STD-S&B|450|10
70102|STD|STD-S&B|450|1
70202|STD|STD-S&B|450|2
70302|STD|STD-S&B|450|3
70402|STD|STD-S&B|450|4
70502|STD|STD-S&B|450|5
70602|STD|STD-S&B|450|6
70702|STD|STD-S&B|450|7
70802|STD|STD-S&B|450|8
70902|STD|STD-S&B|450|9
71002|STD|STD-S&B|450|10
80102|STD|STD-S&B|450|1
80202|STD|STD-S&B|450|2
80302|STD|STD-S&B|450|3
80402|STD|STD-S&B|450|4
80502|STD|STD-S&B|450|5
80602|STD|STD-S&B|450|6
80702|STD|STD-S&B|450|7
80802|STD|STD-S&B|450|8
80902|STD|STD-S&B|450|9
81002|STD|STD-S&B|450|10
90102|STD|STD-S&B|450|1
90202|STD|STD-S&B|450|2
90302|STD|STD-S&B|450|3
90402|STD|STD-S&B|450|4
90502|STD|STD-S&B|450|5
90602|STD|STD-S&B|450|6
90702|STD|STD-S&B|450|7
90802|STD|STD-S&B|450|8
90902|STD|STD-S&B|450|9
91002|STD|STD-S&B|450|10
100102|STD|STD-S&B|450|1
100202|STD|STD-S&B|450|2
100302|STD|STD-S&B|450|3
100402|STD|STD-S&B|450|4
100502|STD|STD-S&B|450|5
100602|STD|STD-S&B|450|6
100702|STD|STD-S&B|450|7
100802|STD|STD-S&B|450|8
100902|STD|STD-S&B|450|9
101002|STD|STD-S&B|450|10
