UnitPlan|StartDate|EndDate|RentRate
STD-S&A|12/1/2011|12/31/2011|1438
STD-S&B|12/1/2011|12/31/2011|1438
STD-S&C|12/1/2011|12/31/2011|1438
STD-M&A|12/1/2011|12/31/2011|1770
STD-M&B|12/1/2011|12/31/2011|1770
STD-L|12/1/2011|12/31/2011|1972
1BR-S&A|12/1/2011|12/31/2011|1837
1BR-S&B|12/1/2011|12/31/2011|1837
1BR-L&A|12/1/2011|12/31/2011|2023
1BR-L&B|12/1/2011|12/31/2011|2023
2BR-S|12/1/2011|12/31/2011|2194
STD-S&A|1/1/2012|1/31/2012|1471
STD-S&B|1/1/2012|1/31/2012|1471
STD-S&C|1/1/2012|1/31/2012|1471
STD-M&A|1/1/2012|1/31/2012|1811
STD-M&B|1/1/2012|1/31/2012|1811
STD-L|1/1/2012|1/31/2012|2018
1BR-S&A|1/1/2012|1/31/2012|1813
1BR-S&B|1/1/2012|1/31/2012|1813
1BR-L&A|1/1/2012|1/31/2012|1996
1BR-L&B|1/1/2012|1/31/2012|1996
2BR-S|1/1/2012|1/31/2012|2236
STD-S&A|2/1/2012|2/29/2012|1500
STD-S&B|2/1/2012|2/29/2012|1500
STD-S&C|2/1/2012|2/29/2012|1500
STD-M&A|2/1/2012|2/29/2012|1846
STD-M&B|2/1/2012|2/29/2012|1846
STD-L|2/1/2012|2/29/2012|2058
1BR-S&A|2/1/2012|2/29/2012|1836
1BR-S&B|2/1/2012|2/29/2012|1836
1BR-L&A|2/1/2012|2/29/2012|2022
1BR-L&B|2/1/2012|2/29/2012|2022
2BR-S|2/1/2012|2/29/2012|2245
STD-S&A|3/1/2012|3/31/2012|1530
STD-S&B|3/1/2012|3/31/2012|1530
STD-S&C|3/1/2012|3/31/2012|1530
STD-M&A|3/1/2012|3/31/2012|1883
STD-M&B|3/1/2012|3/31/2012|1883
STD-L|3/1/2012|3/31/2012|2098
1BR-S&A|3/1/2012|3/31/2012|1849
1BR-S&B|3/1/2012|3/31/2012|1849
1BR-L&A|3/1/2012|3/31/2012|2036
1BR-L&B|3/1/2012|3/31/2012|2036
2BR-S|3/1/2012|3/31/2012|2056
STD-S&A|4/1/2012|4/30/2012|1510
STD-S&B|4/1/2012|4/30/2012|1510
STD-S&C|4/1/2012|4/30/2012|1510
STD-M&A|4/1/2012|4/30/2012|1859
STD-M&B|4/1/2012|4/30/2012|1859
STD-L|4/1/2012|4/30/2012|2071
1BR-S&A|4/1/2012|4/30/2012|1800
1BR-S&B|4/1/2012|4/30/2012|1800
1BR-L&A|4/1/2012|4/30/2012|1983
1BR-L&B|4/1/2012|4/30/2012|1983
2BR-S|4/1/2012|4/30/2012|1980
STD-S&A|5/1/2012|5/31/2012|1517
STD-S&B|5/1/2012|5/31/2012|1517
